TransactionId,ChargePoint,Connector,MeterStart,MeterStop,ConnectedTime,ChargeTime,TotalEnergy,MaxPower,Started,Ended
2826872,DB0371,DB0371-2,2610770,2621940,1.3886,1.2744,11.17,10.4,12/1/2017 12:23:09,12/1/2017 13:46:28
2728411,EV0142,EV0142-1,24475230,24529170,15.4414,5.4517,53.94,10.391,9/30/2017 16:25:06,10/1/2017 7:51:35
2288257,AL196,AL196-1,2882159,2904030,1.8908,1.75,21.871,13.08,3/31/2017 18:24:57,3/31/2017 20:18:24
2598513,AL153,AL153-1,1941479,1965369,2.3714,2.3706,23.89,10.76,7/8/2017 16:23:13,7/8/2017 18:45:30
2851070,AL626,AL626-2,5815080,5827189,2.6342,2.1339,12.109,10.44,12/18/2017 16:33:42,12/18/2017 19:11:45
2818437,DB0215,DB0215-1,1139720,1149240,1.8339,1.8339,9.52,9.24,11/25/2017 15:28:50,11/25/2017 17:18:52
2731297,AL805,AL805-2,1158510,1198420,12.0744,4.5,39.91,10.64,10/2/2017 18:48:24,10/3/2017 6:52:52
2314671,REE611,REE611-1,5958910,5964270,1.2364,1.2083,5.36,9.565,4/7/2017 6:32:30,4/7/2017 7:46:41
2517571,EV0171,EV0171-1,9226640,9271640,7.7044,4.9442,45,10.405,5/29/2017 21:03:42,5/30/2017 4:45:58
2177293,EV0224,EV0224-1,24870320,24899660,2.6686,2.6686,29.34,11.135,3/5/2017 16:43:16,3/5/2017 19:23:23
2822464,EV0154,EV0154-1,6055040,6095630,15.0942,5.0664,40.59,9.346,11/28/2017 16:51:27,11/29/2017 7:57:06
2693969,AL167,AL167-1,2470070,2488639,1.5689,1.5683,18.569,12.4,9/9/2017 7:58:10,9/9/2017 9:32:18
2720652,REE074,REE074-2,1633500,1678680,5.8181,5.1917,45.18,10.08,9/26/2017 5:33:30,9/26/2017 11:22:35
2843236,AL726,AL726-1,3822959,3842060,2.0564,1.75,19.101,11.28,12/13/2017 12:59:58,12/13/2017 15:03:21
2408875,AL877,AL877-2,1078160,1082719,0.4183,0.4169,4.559,11.076,4/30/2017 8:12:51,4/30/2017 8:37:57
2388105,EV0048,EV0048-1,9261280,9265300,0.7075,0.7075,4.02,10.412,4/24/2017 14:33:12,4/24/2017 15:15:39
2821353,DB0017,DB0017-2,252970,284310,11.6725,3.6725,31.34,10.72,11/27/2017 19:47:06,11/28/2017 7:27:27
2263992,AL801,AL801-2,608070,623140,5.3344,2.25,15.07,9.64,3/26/2017 10:32:56,3/26/2017 15:53:00
2641526,REE423,REE423-1,3474710,3484920,1.0794,1.0794,10.21,9.567,8/5/2017 7:20:38,8/5/2017 8:25:24
2204549,AL61,AL61-1,2332989,2352070,2.5158,2.5158,19.081,13.68,3/12/2017 9:20:55,3/12/2017 11:51:52
2585186,EVP0003,EVP0003-1,3379640,3396780,2.3989,1.745,17.14,11.225,7/1/2017 11:48:02,7/1/2017 14:11:58
2240182,REE240,REE240-2,302430,376440,13.1122,7.6403,74.01,10.52,3/20/2017 18:21:35,3/21/2017 7:28:19
2076213,DB0180,DB0180-2,2247790,2280110,5.8011,3.1717,32.32,10.879,2/2/2017 10:59:55,2/2/2017 16:47:59
2718426,AL523,AL523-1,147860,170550,2.2219,2.2203,22.69,10.32,9/24/2017 12:06:26,9/24/2017 14:19:45
2816934,EV0104,EV0104-1,12359440,12403660,12.4375,4.5772,44.22,10.331,11/24/2017 17:43:19,11/25/2017 6:09:34
2188265,EV0178,EV0178-1,4531240,4573140,3.7667,3.7667,41.9,11.267,3/8/2017 10:15:54,3/8/2017 14:01:54
2832806,AL436,AL436-2,4202140,4205689,0.3661,0.3653,3.549,9.794,12/5/2017 13:05:32,12/5/2017 13:27:30
2555921,REE551,REE551-1,19563450,19582560,7.6669,1.8606,19.11,10.948,6/16/2017 12:53:21,6/16/2017 20:33:22
2243752,REE097,REE097-1,3449680,3478350,3.8514,2.925,28.67,10.16,3/21/2017 16:34:30,3/21/2017 20:25:35
2352416,DB0117,DB0117-2,481750,504730,2.3164,2.3164,22.98,10.681,4/15/2017 13:24:30,4/15/2017 15:43:29
2592317,DB0333,DB0333-1,4579400,4590010,4.3353,1.0583,10.61,10.879,7/5/2017 11:36:13,7/5/2017 15:56:20
2688536,AL707,AL707-1,5734399,5773930,10.6756,3,39.531,13.716,9/5/2017 20:14:27,9/6/2017 6:54:59
2775281,RWE013,RWE013-1,4268832,4273019,0.4264,0.4264,4.187,9.82,10/30/2017 18:11:23,10/30/2017 18:36:58
2413110,DB0117,DB0117-2,641670,653230,1.855,1.1586,11.56,10.681,5/1/2017 12:18:55,5/1/2017 14:10:13
