 Time (k) , Proportion of sessions started in k  - weekdays , Proportion of sessions started in k - weekenddays 
0:00,0.0023,0.0036
0:15,0.0017,0.0037
0:30,0.0013,0.0035
0:45,0.0009,0.0027
1:00,0.0007,0.0022
1:15,0.0005,0.0019
1:30,0.0004,0.0015
1:45,0.0003,0.0014
2:00,0.0003,0.0010
2:15,0.0002,0.0008
2:30,0.0002,0.0007
2:45,0.0002,0.0006
3:00,0.0001,0.0004
3:15,0.0001,0.0003
3:30,0.0001,0.0003
3:45,0.0002,0.0002
4:00,0.0001,0.0002
4:15,0.0001,0.0002
4:30,0.0001,0.0002
4:45,0.0002,0.0002
5:00,0.0003,0.0002
5:15,0.0002,0.0002
5:30,0.0003,0.0001
5:45,0.0005,0.0002
6:00,0.0006,0.0003
6:15,0.0008,0.0003
6:30,0.0018,0.0004
6:45,0.0034,0.0006
7:00,0.0065,0.0008
7:15,0.0078,0.0012
7:30,0.0115,0.0016
7:45,0.0157,0.0024
8:00,0.0193,0.0036
8:15,0.0223,0.0044
8:30,0.0296,0.0060
8:45,0.0304,0.0071
9:00,0.0287,0.0097
9:15,0.0207,0.0104
9:30,0.0168,0.0117
9:45,0.0150,0.0141
10:00,0.0145,0.0161
10:15,0.0116,0.0161
10:30,0.0116,0.0173
10:45,0.0116,0.0184
11:00,0.0120,0.0202
11:15,0.0104,0.0202
11:30,0.0107,0.0209
11:45,0.0113,0.0205
12:00,0.0124,0.0221
12:15,0.0126,0.0222
12:30,0.0134,0.0229
12:45,0.0147,0.0232
13:00,0.0155,0.0234
13:15,0.0137,0.0228
13:30,0.0136,0.0244
13:45,0.0132,0.0241
14:00,0.0133,0.0245
14:15,0.0115,0.0243
14:30,0.0118,0.0239
14:45,0.0121,0.0229
15:00,0.0130,0.0231
15:15,0.0118,0.0229
15:30,0.0127,0.0224
15:45,0.0131,0.0220
16:00,0.0135,0.0215
16:15,0.0132,0.0203
16:30,0.0141,0.0201
16:45,0.0150,0.0194
17:00,0.0175,0.0192
17:15,0.0194,0.0190
17:30,0.0226,0.0186
17:45,0.0252,0.0180
18:00,0.0279,0.0185
18:15,0.0286,0.0164
18:30,0.0261,0.0161
18:45,0.0240,0.0140
19:00,0.0224,0.0138
19:15,0.0203,0.0121
19:30,0.0180,0.0119
19:45,0.0162,0.0110
20:00,0.0146,0.0108
20:15,0.0122,0.0099
20:30,0.0112,0.0094
20:45,0.0104,0.0094
21:00,0.0096,0.0089
21:15,0.0092,0.0081
21:30,0.0086,0.0074
21:45,0.0086,0.0071
22:00,0.0082,0.0066
22:15,0.0078,0.0057
22:30,0.0072,0.0056
22:45,0.0065,0.0048
23:00,0.0057,0.0042
23:15,0.0048,0.0041
23:30,0.0041,0.0036
23:45,0.0032,0.0032
