 Time (k) , Proportion of sessions started in k  - weekdays , Proportion of sessions started in k - weekenddays 
0:00,0.0038,0.0074
0:15,0.0029,0.0077
0:30,0.0022,0.0072
0:45,0.0019,0.0062
1:00,0.0015,0.0059
1:15,0.0012,0.0052
1:30,0.0009,0.0043
1:45,0.0007,0.0035
2:00,0.0005,0.0034
2:15,0.0004,0.0024
2:30,0.0004,0.0021
2:45,0.0003,0.0016
3:00,0.0003,0.0014
3:15,0.0003,0.0012
3:30,0.0003,0.0008
3:45,0.0003,0.0012
4:00,0.0003,0.0008
4:15,0.0003,0.0009
4:30,0.0004,0.0008
4:45,0.0004,0.0010
5:00,0.0005,0.0009
5:15,0.0006,0.0009
5:30,0.0008,0.0008
5:45,0.0012,0.0011
6:00,0.0018,0.0008
6:15,0.0022,0.0007
6:30,0.0033,0.0012
6:45,0.0048,0.0011
7:00,0.0069,0.0010
7:15,0.0109,0.0015
7:30,0.0159,0.0014
7:45,0.0213,0.0018
8:00,0.0295,0.0026
8:15,0.0336,0.0031
8:30,0.0397,0.0034
8:45,0.0408,0.0045
9:00,0.0422,0.0060
9:15,0.0357,0.0061
9:30,0.0331,0.0069
9:45,0.0298,0.0083
10:00,0.0272,0.0107
10:15,0.0192,0.0108
10:30,0.0155,0.0107
10:45,0.0136,0.0124
11:00,0.0121,0.0146
11:15,0.0103,0.0147
11:30,0.0101,0.0143
11:45,0.0102,0.0156
12:00,0.0111,0.0178
12:15,0.0106,0.0177
12:30,0.0113,0.0183
12:45,0.0124,0.0190
13:00,0.0130,0.0184
13:15,0.0119,0.0200
13:30,0.0127,0.0189
13:45,0.0123,0.0191
14:00,0.0126,0.0203
14:15,0.0110,0.0203
14:30,0.0105,0.0204
14:45,0.0110,0.0202
15:00,0.0112,0.0194
15:15,0.0103,0.0204
15:30,0.0099,0.0201
15:45,0.0102,0.0201
16:00,0.0103,0.0194
16:15,0.0097,0.0198
16:30,0.0097,0.0205
16:45,0.0105,0.0201
17:00,0.0108,0.0202
17:15,0.0110,0.0200
17:30,0.0123,0.0209
17:45,0.0144,0.0197
18:00,0.0157,0.0203
18:15,0.0159,0.0200
18:30,0.0156,0.0195
18:45,0.0159,0.0183
19:00,0.0157,0.0169
19:15,0.0152,0.0160
19:30,0.0136,0.0148
19:45,0.0123,0.0147
20:00,0.0109,0.0139
20:15,0.0099,0.0129
20:30,0.0095,0.0124
20:45,0.0085,0.0118
21:00,0.0078,0.0129
21:15,0.0076,0.0123
21:30,0.0073,0.0116
21:45,0.0073,0.0113
22:00,0.0068,0.0102
22:15,0.0070,0.0102
22:30,0.0067,0.0097
22:45,0.0066,0.0078
23:00,0.0059,0.0076
23:15,0.0057,0.0076
23:30,0.0052,0.0071
23:45,0.0045,0.0065
